Event.Id,Event.Date,Location,Make,Model,Engine.Type,Total.Fatal.Injuries,Total.Serious.Injuries,Broad.phase.of.flight,Aircraft.Category,Number.of.Engines
20170710X52551,1979-09-17,"BOSTON, MA",Mcdonnell Douglas,DC9,Turbo Fan,0.0,0.0,Climb,Airplane,2.0
20020909X01562,1982-01-01,"PULLMAN, WA",Cessna,140,Reciprocating,0.0,0.0,Takeoff,Airplane,1.0
20020909X01561,1982-01-01,"EAST HANOVER, NJ",Cessna,401B,Reciprocating,0.0,0.0,Landing,Airplane,2.0
20020917X02148,1982-01-02,"HOMER, LA",Bellanca,17-30A,Reciprocating,0.0,0.0,Cruise,Airplane,1.0
20020917X02134,1982-01-02,"HEARNE, TX",Cessna,R172K,Reciprocating,1.0,0.0,Takeoff,Airplane,1.0
20020917X02119,1982-01-02,"CHICKASHA, OK",Navion,A,Reciprocating,1.0,0.0,Cruise,Airplane,1.0
20020917X02117,1982-01-02,"LITTLE ROCK, AR",Beech,19,Reciprocating,2.0,0.0,Cruise,Airplane,1.0
20020917X01962,1982-01-02,"MIDWAY, UT",Enstrom,280C,Reciprocating,0.0,0.0,Taxi,Helicopter,1.0
20020917X01656,1982-01-02,"SKWENTA, AK",Cessna,180,Reciprocating,3.0,0.0,Unknown,Airplane,1.0
20020917X02481,1982-01-02,"GALETON, PA",Cessna,172,Reciprocating,0.0,0.0,Taxi,Airplane,1.0
20020917X02339,1982-01-02,"MIAMI, FL",Smith,WCS-222 (BELL 47G),Reciprocating,0.0,0.0,Cruise,Helicopter,1.0
20020917X01894,1982-01-02,"YPSILANTI, MI",Cessna,152,Reciprocating,0.0,0.0,Takeoff,Airplane,1.0
20020917X01776,1982-01-02,"CHARLOTTE, MI",Cessna,150L,Reciprocating,0.0,0.0,Approach,Airplane,1.0
20020917X01657,1982-01-02,"CHAMBLEE, GA",Bell,206L-1,Turbo Shaft,0.0,0.0,Approach,Helicopter,1.0
20020917X02333,1982-01-03,"VAN NUYS, CA",Piper,PA-24-180,Reciprocating,0.0,0.0,Approach,Airplane,1.0
20020917X02255,1982-01-03,"10 NM W LEE VIN, CA",Grumman,AA-5B,Reciprocating,2.0,1.0,Descent,Airplane,1.0
20020917X01905,1982-01-03,"ASHLAND, VA",Cessna,414A,Reciprocating,8.0,0.0,Approach,Airplane,2.0
20020917X01720,1982-01-03,"PINEHURST, NC",Beechcraft,BE-58,Reciprocating,1.0,0.0,Approach,Airplane,2.0
20020917X02483,1982-01-03,"WHITE PLAINS, NY",Maule,M-5-235C,Reciprocating,0.0,0.0,Landing,Airplane,1.0
20020917X02340,1982-01-03,"COCOA, FL",Cessna,210L,Reciprocating,0.0,0.0,Descent,Airplane,1.0
20020917X02155,1982-01-03,"SAN CLEMENTINE, CA",Bellanca,7GCBC,Reciprocating,0.0,0.0,Maneuvering,Airplane,1.0
20020917X01992,1982-01-03,"FORT WORTH, TX",Cessna,182,Reciprocating,0.0,0.0,Approach,Airplane,1.0
20020917X01960,1982-01-03,"GREENOUGH, MT",Air Tractor,AT-301,Reciprocating,0.0,0.0,Takeoff,Airplane,1.0
20020917X02618,1982-01-04,"PLEASANT HILL, OR",Piper,PA-28-161,Reciprocating,4.0,0.0,Cruise,Airplane,1.0
20020917X02254,1982-01-04,"NEAR LAS VEGAS, NV",Piper,PA-34-200T,Reciprocating,2.0,0.0,Cruise,Airplane,2.0
20020917X01880,1982-01-04,"FORT WAYNE, IN",Cessna,T337G,Reciprocating,2.0,2.0,Cruise,Airplane,2.0
20020917X01991,1982-01-04,"ESTANCIA, NM",Piper,PA-28R-200,Reciprocating,0.0,0.0,Cruise,Airplane,1.0
20020917X02410,1982-01-04,SAINT CROIX,Cessna,206,Reciprocating,1.0,0.0,Taxi,Airplane,1.0
20020917X02304,1982-01-05,"RAMONA, CA",Navion,A,Reciprocating,3.0,0.0,Cruise,Airplane,1.0
20020917X02253,1982-01-05,"BLACK CANYON CI, AZ",Piper,PA-22,Reciprocating,1.0,0.0,Cruise,Airplane,1.0
20020917X01906,1982-01-05,"ITHACA, NY",Piper,PA-31,Reciprocating,2.0,0.0,Approach,Airplane,2.0
20020917X01764,1982-01-05,"PENSACOLA, FL",Rockwell,114,Reciprocating,0.0,0.0,Cruise,Airplane,1.0
20020917X01993,1982-01-05,"LONOKE, AR",Piper,PA-24-250,Reciprocating,0.0,1.0,Descent,Airplane,1.0
20020917X01658,1982-01-05,"GASTONIA, NC",Piper,PA-28R-200,Reciprocating,0.0,0.0,Cruise,Airplane,1.0
